,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method
62,36.0,Female,Pajamas,34.20090410948313,Iowa,S,Brown,Winter,Missing,Standard,No,3,Credit Card
63,30.0,Male,Jacket,32.64403489086945,Oregon,XL,Ruby Red,Fall,Missing,Standard,No,5,Credit Card
64,,Male,Scarf,21.827979888471795,Nevada,M,Ruby Red,Fall,Missing,Standard,No,2,Credit Card
65,30.0,Male,Sweater,23.489252999981595,South Carolina,S,Ruby Red,Winter,Missing,Express,No,16,Credit Card
66,38.0,Male,Dress,33.62140289449425,,M,Pale peach,Summer,Missing,Standard,No,1,Credit Card
67,34.0,Female,Handbag,41.22445271831051,Illinois,M,Fuchsia,Summer,Missing,Standard,No,3,Credit Card
68,38.0,Male,Scarf,32.039283488670485,Indiana,XL,Muted mustard yellow,Winter,Missing,Next Day Air,No,0,Credit Card
69,33.0,Male,Hoodie,25.46994433972665,Georgia,M,Black,Winter,Missing,Standard,No,2,Credit Card
70,37.0,Male,T-shirt,23.815418049151248,New Mexico,S,Periwinkle,Summer,Missing,Next Day Air,No,2,Credit Card
71,20.0,Female,Sunglasses,20.59489899416038,Wisconsin,S,Baby blue,Spring,Missing,Standard,No,3,Credit Card
72,,Male,Jacket,21.09065009643115,Mississippi,M,Aubergine,Winter,Present,Standard,No,16,Credit Card
73,26.0,Male,Handbag,33.60184058449851,,M,Lavender,Summer,Present,Express,No,4,Credit Card
74,38.0,Female,Dress,43.4538103637565,Missouri,M,Lavender,Summer,Present,Standard,No,5,Credit Card
75,53.0,Female,Dress,35.59855688518048,California,M,Turquoise,Summer,Present,Standard,No,6,Credit Card
76,38.0,Male,Hoodie,35.46782769106436,Arizona,S,Brick red,Winter,Missing,Standard,No,11,Credit Card
77,35.0,Male,Leggings,19.85931729641918,Pennsylvania,M,Burnt orange,Fall,Missing,Standard,No,17,Credit Card
78,39.0,Female,Boots,27.286814078497528,,S,Aubergine,Winter,Missing,Standard,No,20,Credit Card
79,29.0,Male,Gloves,33.564008066998774,California,M,Brown,Fall,Present,Standard,No,1,Credit Card
80,37.0,Female,Scarf,27.781393176415374,Vermont,S,Terra cotta,Winter,Missing,Standard,No,0,Credit Card
81,18.0,Female,Jacket,23.753598955624792,,M,Muted mustard yellow,Fall,Present,Next Day Air,No,0,Credit Card
82,37.0,Female,Sunglasses,23.242507015972933,Nevada,M,White,Spring,Missing,Standard,No,4,Credit Card
83,48.0,Female,Backpack,32.75508024138621,Texas,M,Brown,Fall,Missing,Standard,No,4,Credit Card
84,37.0,Female,Shorts,28.86497987718342,Kentucky,M,Fuchsia,Summer,Missing,Next Day Air,No,1,Credit Card
85,49.0,Male,Shorts,33.38595608351757,Idaho,L,Fuchsia,Spring,Missing,Standard,No,12,Credit Card
86,41.0,Female,Shorts,28.401404011303946,Nevada,M,Lemon yellow,Summer,Missing,Standard,No,11,Credit Card
87,20.0,Male,Dress,29.308418079341543,Oklahoma,M,Lavender,Spring,Missing,Standard,No,0,Credit Card
88,20.0,Female,Sweater,31.54293033506566,,L,Ruby Red,Winter,Missing,Standard,No,5,Credit Card
89,19.0,Male,Hoodie,36.540353833569775,Illinois,S,Muted mustard yellow,Winter,Present,Standard,No,3,Credit Card
90,37.0,Female,Pajamas,22.944399774076736,Kentucky,L,Brick red,Winter,Missing,Standard,No,2,Credit Card
91,30.0,Female,T-shirt,32.31053883178541,Virginia,L,Lavender,Spring,Present,Standard,No,12,Credit Card
92,31.0,Male,Sweater,28.340660149202503,Colorado,M,Brown,Winter,Missing,Standard,No,1,Credit Card
93,46.0,Male,Scarf,25.62472994200038,Louisiana,M,Brown,Fall,Missing,Standard,No,1,Credit Card
94,29.0,Male,Socks,30.24697629849633,New York,M,Brick red,Fall,Present,Standard,No,0,Credit Card
95,23.0,Female,Sunglasses,39.06815636450797,Idaho,M,Lemon yellow,Summer,Present,Express,No,9,Credit Card
96,29.0,Female,Boots,32.50731225289859,Tennessee,M,Brown,Fall,Missing,Next Day Air,No,12,Credit Card
97,45.0,Non-binary,Shorts,33.32925704385864,California,M,Black,Fall,Present,Standard,No,3,Credit Card
98,50.0,Male,Dress,34.52657083044227,Connecticut,M,Lavender,Spring,Present,Standard,No,5,Credit Card
99,37.0,Male,T-shirt,28.367437778218846,Nevada,M,Muted mustard yellow,Summer,Present,Express,No,7,Credit Card
100,44.0,Female,Socks,21.280078494434427,Alabama,M,Burnt orange,Winter,Missing,Standard,No,2,Credit Card
101,37.0,Female,Sweater,23.671008170988827,Utah,XL,Muted mustard yellow,Fall,Present,Standard,No,5,Credit Card
102,49.0,Male,Sunglasses,30.639120784521104,Louisiana,L,Pale peach,Spring,Present,Next Day Air,No,2,Credit Card
103,27.0,Female,Gloves,28.31917288360456,Illinois,L,Brick red,Winter,Missing,Standard,No,0,Credit Card
104,45.0,Female,Handbag,22.56183588357009,Nebraska,M,White,Summer,Missing,Standard,No,20,Credit Card
105,41.0,Female,Shorts,35.16698952660097,Delaware,M,Periwinkle,Summer,Missing,Standard,No,1,Credit Card
106,33.0,Female,Running Shoes,40.044523742171336,Maryland,L,Periwinkle,Summer,Present,Standard,No,6,Credit Card
107,27.0,Male,Pajamas,33.220036973982374,Wyoming,M,Terra cotta,Winter,Missing,Standard,No,0,Credit Card
108,48.0,Male,Sunglasses,13.025750666066642,Massachusetts,M,White,Spring,Missing,Standard,No,20,Credit Card
109,,Male,Backpack,28.16854462404277,Alabama,XL,Mauve,Winter,Present,Standard,No,1,Credit Card
110,24.0,Female,Dress,27.968961451416657,Washington,M,Fuchsia,Spring,Missing,Standard,No,0,Credit Card
111,19.0,Female,Handbag,29.221767976620992,Massachusetts,XL,Fuchsia,Summer,Present,Standard,No,16,Credit Card
112,,Female,Hoodie,29.927558491758347,New York,XL,Mauve,Fall,Missing,Standard,No,2,Credit Card
113,22.0,Female,Sunglasses,22.956083043287148,California,L,Muted mustard yellow,Spring,Present,Standard,No,0,Credit Card
114,50.0,Male,Sunglasses,28.376819427462447,Alabama,M,Lemon yellow,Summer,Missing,Standard,No,1,Credit Card
115,,Female,Dress,40.62816302170537,New York,M,Baby blue,Spring,Present,Standard,No,1,Credit Card
116,29.0,Male,Sunglasses,26.80271406092817,Illinois,L,Baby blue,Summer,Present,Standard,No,0,Credit Card
117,19.0,Male,Gloves,19.6615960697812,Mississippi,M,Terra cotta,Winter,Missing,Standard,No,0,Credit Card
118,35.0,Female,Boots,35.204034984717964,Kentucky,M,Muted mustard yellow,Winter,Missing,Standard,No,6,Credit Card
119,18.0,Male,T-shirt,30.08295793767189,New Mexico,M,White,Summer,Missing,Standard,No,20,Credit Card
120,24.0,Female,Leggings,31.63510176974121,New York,M,White,Winter,Present,Express,No,4,Credit Card
121,58.0,Female,Boots,37.3401368297862,Maine,L,Brick red,Winter,Present,Standard,No,10,Credit Card
122,52.0,Male,Shorts,28.08169193239702,Tennessee,M,Muted mustard yellow,Summer,Missing,Standard,No,3,Credit Card
123,,Female,Socks,32.73305584565742,Kansas,M,Terra cotta,Winter,Missing,Standard,No,12,Credit Card
124,35.0,Female,T-shirt,33.9722445561138,Colorado,S,Fuchsia,Spring,Missing,Standard,No,19,Credit Card
125,49.0,Female,Sunglasses,34.12242081691652,Alabama,XL,Pale peach,Summer,Missing,Standard,No,3,Credit Card
126,41.0,Female,Shorts,22.404350520131985,Washington,L,Baby blue,Summer,Missing,Standard,No,2,Credit Card
127,45.0,Female,T-shirt,35.61670874036934,West Virginia,XL,Lemon yellow,Summer,Present,Next Day Air,No,2,Credit Card
128,36.0,Female,Handbag,30.16421834815556,Tennessee,XL,Periwinkle,Summer,Missing,Standard,No,8,Credit Card
129,49.0,Female,T-shirt,21.945393892648024,Alaska,M,Lavender,Summer,Missing,Standard,No,5,Credit Card
130,37.0,Female,Dress,24.02491265995526,Pennsylvania,M,Fuchsia,Summer,Missing,Standard,No,12,Credit Card
131,27.0,Female,Running Shoes,23.55280923635257,Delaware,M,Periwinkle,Summer,Missing,Standard,No,0,Credit Card
132,48.0,Female,Pajamas,35.34606960476163,Oregon,M,Muted mustard yellow,Winter,Present,Standard,No,13,Credit Card
133,20.0,Male,Handbag,23.06266665909253,Idaho,L,Black,Summer,Present,Next Day Air,No,1,Credit Card
134,26.0,Male,Jacket,33.377335461219346,Ohio,S,Terra cotta,Winter,Missing,Standard,No,8,Credit Card
135,39.0,Male,Gloves,37.46544615483463,Georgia,M,Mauve,Winter,Missing,Standard,No,1,Credit Card
136,31.0,Female,Scarf,26.894776659597657,Alaska,L,Black,Winter,Missing,Express,No,2,Credit Card
137,28.0,Female,Sunglasses,40.29033591254307,Kansas,L,Burnt orange,Fall,Missing,Next Day Air,No,0,Credit Card
138,20.0,Female,Shorts,32.326684985368345,Mississippi,S,Lemon yellow,Summer,Missing,Next Day Air,No,3,Credit Card
139,44.0,Female,Running Shoes,27.640997030471524,Maine,M,Periwinkle,Summer,Present,Standard,No,1,Credit Card
140,,Female,Leggings,33.804401868487844,North Dakota,XL,Brown,Fall,Present,Standard,No,5,Credit Card
141,32.0,Male,Socks,38.649676619943,New York,M,Muted mustard yellow,Fall,Missing,Standard,No,0,Credit Card
142,25.0,Male,Shorts,19.927603459330555,Alaska,L,Pale peach,Summer,Present,Standard,No,4,Credit Card
143,22.0,Female,Running Shoes,27.051246697185,Iowa,S,Turquoise,Spring,Missing,Standard,No,1,Credit Card
144,60.0,Male,Jacket,29.935703028048664,Delaware,M,Mauve,Winter,Missing,Standard,No,0,Credit Card
145,38.0,Female,Shorts,31.84031497567415,,M,Lavender,Fall,Missing,Standard,No,16,Credit Card
146,,Female,Gloves,24.377826834258023,Mississippi,M,Mauve,Winter,Missing,Express,No,0,Credit Card
147,41.0,Female,Shorts,42.47601053548436,Massachusetts,S,Lemon yellow,Summer,Missing,Standard,No,0,Credit Card
148,37.0,Male,Running Shoes,31.61126966438244,Louisiana,L,White,Spring,Missing,Next Day Air,No,3,Credit Card
149,,Male,Running Shoes,29.20856506527299,Missouri,L,White,Fall,Missing,Standard,No,17,Credit Card
150,34.0,Female,Gloves,26.55702924707019,Iowa,XL,White,Winter,Missing,Standard,No,1,Credit Card
151,30.0,Female,Jeans,25.157504882474548,Oregon,L,Mauve,Fall,Missing,Standard,No,7,Credit Card
152,26.0,Male,T-shirt,30.865217381674967,Oklahoma,M,Periwinkle,Summer,Missing,Standard,No,7,Credit Card
153,42.0,Male,Handbag,25.877164573404308,Florida,L,Aubergine,Fall,Present,Standard,No,0,Credit Card
154,23.0,Female,Sweater,23.57025605133923,,M,Terra cotta,Winter,Missing,Standard,No,18,Credit Card
155,20.0,Female,Pajamas,27.795310583183262,Kentucky,M,Aubergine,Winter,Missing,Standard,No,2,Credit Card
156,31.0,Female,Hoodie,21.19328667006897,Maine,L,Brown,Winter,Missing,Express,No,0,Credit Card
157,35.0,Male,Sunglasses,37.309686782518376,Nebraska,L,Baby blue,Summer,Missing,Standard,No,5,Credit Card
158,,Female,Dress,30.42305065074777,Connecticut,M,Turquoise,Summer,Missing,Standard,No,0,Credit Card
159,23.0,Male,Handbag,20.98606074094816,Texas,S,Fuchsia,Spring,Missing,Express,No,3,Credit Card
160,28.0,Male,Handbag,33.23011883507173,Texas,L,White,Spring,Missing,Standard,No,8,Credit Card
161,21.0,Male,Hoodie,38.1693501023632,Connecticut,M,Black,Winter,Present,Standard,No,6,Credit Card
162,29.0,Male,Handbag,37.5011813324779,Missouri,XL,Brown,Spring,Missing,Express,No,0,Credit Card
163,19.0,Female,Shorts,29.006185791830863,New Hampshire,M,White,Summer,Missing,Standard,No,13,Credit Card
164,31.0,Male,Running Shoes,32.73312288464473,Wisconsin,M,Pale peach,Spring,Missing,Standard,No,0,Credit Card
165,,Male,Sunglasses,25.479468681973025,,XL,Periwinkle,Summer,Missing,Standard,No,11,Credit Card
166,21.0,Male,T-shirt,24.27710436277089,South Dakota,S,Fuchsia,Summer,Missing,Standard,No,1,Credit Card
167,50.0,Female,Socks,23.497278703464023,Mississippi,L,Pale peach,Fall,Missing,Standard,No,12,Credit Card
168,32.0,Male,Handbag,30.911267387651304,Mississippi,XL,Baby blue,Spring,Missing,Standard,No,6,Credit Card
169,32.0,Male,Sunglasses,24.53979787157618,New Mexico,L,Lavender,Summer,Present,Standard,No,3,Credit Card
170,,Female,T-shirt,25.91580782529565,New Mexico,L,Turquoise,Summer,Present,Next Day Air,No,2,Credit Card
171,,Male,Belt,27.996991496352184,Arkansas,M,Brown,Fall,Present,Express,No,7,Credit Card
172,34.0,Female,Scarf,29.7092302760342,New Mexico,M,Fuchsia,Winter,Present,Standard,No,1,Credit Card
173,,Male,Running Shoes,33.29439532201687,Nebraska,S,Brick red,Fall,Present,Standard,No,0,Credit Card
174,,Male,Dress,37.71562465593321,Arizona,S,Turquoise,Summer,Missing,Next Day Air,No,0,Credit Card
175,20.0,Female,Sunglasses,22.59352242059229,Connecticut,L,Pale peach,Summer,Missing,Standard,No,20,Credit Card
176,20.0,Male,Sunglasses,35.71074124834623,Montana,S,Baby blue,Summer,Present,Standard,No,11,Credit Card
177,27.0,Male,Sweater,34.28213844921089,,L,Brown,Winter,Present,Express,No,4,Credit Card
178,36.0,Female,Leggings,25.915470402424305,New Jersey,M,Ruby Red,Winter,Missing,Standard,No,7,Credit Card
179,49.0,Non-binary,Gloves,36.53282512559191,,M,Black,Winter,Missing,Standard,No,3,Credit Card
180,31.0,Male,Dress,23.677315640557808,Washington,S,Pale peach,Spring,Present,Standard,No,5,Credit Card
181,41.0,Male,Hoodie,26.064057449298268,Colorado,XL,Brick red,Winter,Missing,Next Day Air,No,0,Credit Card
182,45.0,Female,Running Shoes,30.235221035126788,North Carolina,M,Brown,Summer,Present,Standard,No,7,Credit Card
183,29.0,Male,Jacket,27.303045965424992,Illinois,S,Muted mustard yellow,Winter,Present,Standard,No,15,Credit Card
184,50.0,Male,Jacket,35.85428147078736,Illinois,M,Ruby Red,Fall,Present,Standard,No,10,Credit Card
185,32.0,Female,Running Shoes,33.075367326773005,Rhode Island,L,Baby blue,Spring,Present,Next Day Air,No,6,Credit Card
186,23.0,Male,Scarf,39.22529662811456,,L,Brown,Winter,Present,Standard,No,9,Credit Card
187,47.0,Male,Sunglasses,27.906078244689127,Minnesota,M,Lavender,Spring,Present,Standard,No,7,Credit Card
188,28.0,Female,Running Shoes,32.51461467860084,Ohio,L,White,Summer,Present,Express,No,1,Credit Card
189,34.0,Female,Scarf,34.58389057131083,New York,L,Mauve,Fall,Missing,Standard,No,7,Credit Card
190,27.0,Female,Sweater,33.33507576754284,Indiana,S,Terra cotta,Winter,Missing,Next Day Air,No,14,Credit Card
191,23.0,Male,Sunglasses,24.29472697222567,Georgia,L,Terra cotta,Fall,Missing,Next Day Air,No,1,Credit Card
192,,Male,T-shirt,37.33029259956815,Massachusetts,S,Pale peach,Spring,Missing,Next Day Air,No,10,Credit Card
193,31.0,Male,Hoodie,23.37945000816737,Missouri,M,Aubergine,Winter,Missing,Standard,No,8,Credit Card
194,31.0,Male,Jacket,16.02395126000774,Montana,L,Mauve,Winter,Missing,Standard,No,10,Credit Card
195,30.0,Male,Sweater,24.64209040904741,Kansas,S,Pale peach,Winter,Missing,Standard,No,7,Credit Card
196,,Male,Sunglasses,27.983563792709116,,M,Burnt orange,Fall,Missing,Next Day Air,No,2,Credit Card
197,20.0,Male,Sunglasses,34.4636352421517,,M,Mauve,Spring,Missing,Standard,No,12,Credit Card
198,45.0,Female,Jacket,32.10206968083,Ohio,L,Ruby Red,Fall,Missing,Standard,No,1,Credit Card
199,21.0,Male,Scarf,21.546280572754096,,M,Ruby Red,Fall,Present,Standard,No,20,Credit Card
200,26.0,Male,Leggings,35.06034735330029,Nevada,L,Mauve,Winter,Present,Standard,No,20,Credit Card
201,24.0,Male,Shorts,27.496878972195027,,XL,Lemon yellow,Summer,Present,Standard,No,20,Credit Card
202,21.0,Male,Boots,38.41266154605431,Minnesota,L,Brown,Winter,Missing,Standard,No,4,Credit Card
203,32.0,Female,Shorts,31.398272803986387,Connecticut,XL,White,Spring,Missing,Standard,No,0,Credit Card
204,37.0,Male,Sweater,32.99161362777818,Utah,M,Aubergine,Winter,Missing,Standard,No,1,Credit Card
205,37.0,Non-binary,Running Shoes,43.164845311694,Delaware,M,Terra cotta,Summer,Present,Standard,No,0,Credit Card
206,30.0,Female,Jacket,21.220578688784013,Georgia,L,Burnt orange,Fall,Missing,Standard,No,0,Credit Card
207,22.0,Male,Leggings,38.8683701935412,Oklahoma,M,Burnt orange,Winter,Missing,Standard,No,2,Credit Card
208,44.0,Male,Sunglasses,31.58094267254556,Nevada,M,Black,Fall,Missing,Standard,No,0,Credit Card
209,,Male,Scarf,36.03497151329525,Indiana,L,Muted mustard yellow,Fall,Missing,Standard,No,0,Credit Card
210,38.0,Male,Hoodie,31.800330053244053,,L,Burnt orange,Winter,Missing,Standard,No,3,Credit Card
211,32.0,Female,Backpack,26.970299995768947,Vermont,M,Burnt orange,Fall,Missing,Standard,No,1,Credit Card
212,51.0,Female,Boots,32.97980924379722,North Carolina,M,Black,Winter,Present,Standard,No,12,Credit Card
213,29.0,Female,Running Shoes,32.13484146763228,Virginia,M,Baby blue,Summer,Present,Express,No,14,Credit Card
214,23.0,Male,Leggings,29.59266284812104,Delaware,M,Muted mustard yellow,Fall,Missing,Standard,No,0,Credit Card
215,35.0,Male,Sunglasses,28.037457867695768,South Dakota,M,Pale peach,Spring,Missing,Next Day Air,No,6,Credit Card
216,43.0,Female,Dress,20.36306507686774,Minnesota,L,Pale peach,Summer,Present,Standard,No,0,Credit Card
217,39.0,Female,Running Shoes,34.728968441975546,Florida,M,Pale peach,Spring,Missing,Standard,No,0,Credit Card
218,25.0,Male,Backpack,32.737386042386795,Michigan,M,Aubergine,Fall,Present,Standard,No,13,Credit Card
219,34.0,Male,Running Shoes,21.001520057349204,Florida,M,Baby blue,Spring,Missing,Next Day Air,No,4,Credit Card
220,,Female,Sunglasses,26.94996152340271,West Virginia,M,Turquoise,Spring,Missing,Standard,No,12,Credit Card
221,47.0,Female,Leggings,28.32760171596245,Louisiana,L,Baby blue,Winter,Missing,Next Day Air,No,2,Credit Card
222,37.0,Female,Dress,31.36510198536382,Pennsylvania,M,Brown,Fall,Missing,Standard,No,5,Credit Card
223,41.0,Female,Running Shoes,26.50889186123697,Pennsylvania,XL,Periwinkle,Summer,Missing,Standard,No,5,Credit Card
224,28.0,Male,Socks,19.76200780215793,Louisiana,M,Burnt orange,Fall,Present,Standard,No,1,Credit Card
225,53.0,Male,T-shirt,38.02052889275511,,M,Mauve,Fall,Present,Standard,No,4,Credit Card
226,40.0,Female,Running Shoes,26.321567492348255,,M,Periwinkle,Summer,Missing,Standard,No,3,Credit Card
227,26.0,Female,Shorts,34.83994785189952,Wyoming,XL,White,Summer,Missing,Standard,No,18,Credit Card
228,45.0,Male,Sunglasses,16.873628536862633,Illinois,L,Turquoise,Spring,Present,Standard,No,7,Credit Card
229,27.0,Male,Leggings,37.27786136235862,Oregon,XL,Burnt orange,Fall,Missing,Standard,No,2,Credit Card
230,22.0,Male,Backpack,34.17501959621413,,M,Burnt orange,Winter,Present,Standard,No,0,Credit Card
231,20.0,Male,Scarf,30.71379163312676,Washington,M,Brick red,Winter,Present,Standard,No,1,Credit Card
232,35.0,Male,Shorts,23.362118564236454,Alaska,L,Muted mustard yellow,Fall,Missing,Standard,No,12,Credit Card
233,21.0,Female,T-shirt,20.92717596361858,Kansas,M,Baby blue,Summer,Missing,Standard,No,9,Credit Card
234,26.0,Female,Sweater,37.24857454056908,New York,S,Burnt orange,Winter,Present,Standard,No,6,Credit Card
235,48.0,Female,Sunglasses,37.18786875763331,North Dakota,XL,Turquoise,Spring,Missing,Standard,No,8,Credit Card
236,20.0,Female,Running Shoes,30.82581030781684,Arizona,S,Periwinkle,Summer,Missing,Standard,No,20,Credit Card
237,,Male,Sweater,28.156115882270264,Maryland,M,Black,Winter,Missing,Next Day Air,No,10,Credit Card
238,30.0,Female,Sunglasses,22.604009902230608,Texas,S,Fuchsia,Summer,Present,Standard,No,1,Credit Card
239,49.0,Male,Boots,29.00904144240539,Kentucky,M,Aubergine,Winter,Present,Standard,No,10,Credit Card
240,34.0,Male,Sweater,33.89884212456443,Vermont,M,Black,Fall,Present,Next Day Air,No,13,Credit Card
241,33.0,Female,Sunglasses,40.17538990633306,Nebraska,M,Periwinkle,Summer,Missing,Standard,No,1,Credit Card
242,27.0,Male,Pajamas,30.81021132163804,Alabama,XL,Mauve,Fall,Missing,Standard,No,9,Credit Card
