Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method
41.0,Female,Scarf,23.79954146735968,Alabama,S,Mauve,Winter,Missing,Standard,No,3,Credit Card
22.0,Male,T-shirt,20.906412762688294,New Hampshire,XL,Baby blue,Summer,Missing,Standard,No,4,Credit Card
50.0,Female,Dress,27.930929295771023,Kansas,M,Periwinkle,Summer,Present,Standard,No,4,Credit Card
43.0,Male,Handbag,24.844487541982343,South Carolina,XL,Lemon yellow,Summer,Missing,Next Day Air,No,0,Credit Card
29.0,Male,Hoodie,37.026951924698565,Connecticut,M,Muted mustard yellow,Winter,Missing,Standard,No,1,Credit Card
47.0,Male,T-shirt,35.6318247126098,Massachusetts,L,Fuchsia,Spring,Present,Standard,No,6,Credit Card
36.0,Female,Scarf,44.03244410744036,Florida,L,Muted mustard yellow,Winter,Missing,Standard,No,2,Credit Card
40.0,Female,Running Shoes,39.67097197648154,Missouri,XL,Fuchsia,Spring,Missing,Standard,No,1,Credit Card
41.0,Female,T-shirt,15.424669072035869,Alaska,XL,Mauve,Fall,Missing,Express,No,0,Credit Card
21.0,Male,Handbag,36.140895354489295,Ohio,XL,Baby blue,Summer,Missing,Standard,No,4,Credit Card
59.0,Male,Leggings,29.65332933058636,Utah,L,Ruby Red,Winter,Present,Express,No,2,Credit Card
31.0,Male,Sweater,31.655074499486016,Nebraska,M,Ruby Red,Winter,Present,Standard,No,3,Credit Card
41.0,Male,Belt,32.226532927431435,Nevada,S,Burnt orange,Fall,Missing,Standard,No,3,Credit Card
42.0,Female,Dress,17.09816094878804,Colorado,M,Aubergine,Fall,Missing,Standard,No,5,Credit Card
23.0,Male,Handbag,24.41007785561596,Montana,M,White,Summer,Missing,Standard,No,20,Credit Card
30.0,Male,Sunglasses,32.121026275834794,Georgia,L,Baby blue,Summer,Present,Standard,No,7,Credit Card
44.0,Male,Sunglasses,31.41936438947017,New Jersey,XL,Mauve,Spring,Missing,Standard,No,1,Credit Card
38.0,Female,T-shirt,32.472114305870136,Nebraska,S,Lavender,Summer,Present,Standard,No,3,Credit Card
52.0,Male,Backpack,21.544867568344717,North Dakota,M,Brick red,Winter,Missing,Standard,No,13,Credit Card
21.0,Non-binary,Shorts,22.842739224029664,Wisconsin,L,Lemon yellow,Summer,Present,Standard,No,15,Credit Card
39.0,Female,Sweater,31.70655988802093,Maryland,M,Brown,Winter,Present,Standard,No,0,Credit Card
23.0,Male,Gloves,26.853357979586445,Alaska,XL,Mauve,Winter,Present,Standard,No,11,Credit Card
28.0,Female,T-shirt,20.77754774021777,Colorado,M,Ruby Red,Spring,Missing,Standard,No,2,Credit Card
36.0,Female,Pajamas,34.20090410948313,Iowa,S,Brown,Winter,Missing,Standard,No,3,Credit Card
30.0,Male,Jacket,32.64403489086945,Oregon,XL,Ruby Red,Fall,Missing,Standard,No,5,Credit Card
30.0,Male,Sweater,23.489252999981595,South Carolina,S,Ruby Red,Winter,Missing,Express,No,16,Credit Card
34.0,Female,Handbag,41.22445271831051,Illinois,M,Fuchsia,Summer,Missing,Standard,No,3,Credit Card
38.0,Male,Scarf,32.039283488670485,Indiana,XL,Muted mustard yellow,Winter,Missing,Next Day Air,No,0,Credit Card
33.0,Male,Hoodie,25.46994433972665,Georgia,M,Black,Winter,Missing,Standard,No,2,Credit Card
37.0,Male,T-shirt,23.815418049151248,New Mexico,S,Periwinkle,Summer,Missing,Next Day Air,No,2,Credit Card
20.0,Female,Sunglasses,20.59489899416038,Wisconsin,S,Baby blue,Spring,Missing,Standard,No,3,Credit Card
38.0,Female,Dress,43.4538103637565,Missouri,M,Lavender,Summer,Present,Standard,No,5,Credit Card
53.0,Female,Dress,35.59855688518048,California,M,Turquoise,Summer,Present,Standard,No,6,Credit Card
38.0,Male,Hoodie,35.46782769106436,Arizona,S,Brick red,Winter,Missing,Standard,No,11,Credit Card
35.0,Male,Leggings,19.85931729641918,Pennsylvania,M,Burnt orange,Fall,Missing,Standard,No,17,Credit Card
29.0,Male,Gloves,33.564008066998774,California,M,Brown,Fall,Present,Standard,No,1,Credit Card
37.0,Female,Scarf,27.781393176415374,Vermont,S,Terra cotta,Winter,Missing,Standard,No,0,Credit Card
37.0,Female,Sunglasses,23.242507015972933,Nevada,M,White,Spring,Missing,Standard,No,4,Credit Card
48.0,Female,Backpack,32.75508024138621,Texas,M,Brown,Fall,Missing,Standard,No,4,Credit Card
37.0,Female,Shorts,28.86497987718342,Kentucky,M,Fuchsia,Summer,Missing,Next Day Air,No,1,Credit Card
49.0,Male,Shorts,33.38595608351757,Idaho,L,Fuchsia,Spring,Missing,Standard,No,12,Credit Card
41.0,Female,Shorts,28.401404011303946,Nevada,M,Lemon yellow,Summer,Missing,Standard,No,11,Credit Card
20.0,Male,Dress,29.308418079341543,Oklahoma,M,Lavender,Spring,Missing,Standard,No,0,Credit Card
19.0,Male,Hoodie,36.540353833569775,Illinois,S,Muted mustard yellow,Winter,Present,Standard,No,3,Credit Card
37.0,Female,Pajamas,22.944399774076736,Kentucky,L,Brick red,Winter,Missing,Standard,No,2,Credit Card
30.0,Female,T-shirt,32.31053883178541,Virginia,L,Lavender,Spring,Present,Standard,No,12,Credit Card
31.0,Male,Sweater,28.340660149202503,Colorado,M,Brown,Winter,Missing,Standard,No,1,Credit Card
46.0,Male,Scarf,25.62472994200038,Louisiana,M,Brown,Fall,Missing,Standard,No,1,Credit Card
29.0,Male,Socks,30.24697629849633,New York,M,Brick red,Fall,Present,Standard,No,0,Credit Card
23.0,Female,Sunglasses,39.06815636450797,Idaho,M,Lemon yellow,Summer,Present,Express,No,9,Credit Card
29.0,Female,Boots,32.50731225289859,Tennessee,M,Brown,Fall,Missing,Next Day Air,No,12,Credit Card
45.0,Non-binary,Shorts,33.32925704385864,California,M,Black,Fall,Present,Standard,No,3,Credit Card
50.0,Male,Dress,34.52657083044227,Connecticut,M,Lavender,Spring,Present,Standard,No,5,Credit Card
37.0,Male,T-shirt,28.367437778218846,Nevada,M,Muted mustard yellow,Summer,Present,Express,No,7,Credit Card
44.0,Female,Socks,21.280078494434427,Alabama,M,Burnt orange,Winter,Missing,Standard,No,2,Credit Card
37.0,Female,Sweater,23.671008170988827,Utah,XL,Muted mustard yellow,Fall,Present,Standard,No,5,Credit Card
49.0,Male,Sunglasses,30.639120784521104,Louisiana,L,Pale peach,Spring,Present,Next Day Air,No,2,Credit Card
27.0,Female,Gloves,28.31917288360456,Illinois,L,Brick red,Winter,Missing,Standard,No,0,Credit Card
45.0,Female,Handbag,22.56183588357009,Nebraska,M,White,Summer,Missing,Standard,No,20,Credit Card
41.0,Female,Shorts,35.16698952660097,Delaware,M,Periwinkle,Summer,Missing,Standard,No,1,Credit Card
33.0,Female,Running Shoes,40.044523742171336,Maryland,L,Periwinkle,Summer,Present,Standard,No,6,Credit Card
27.0,Male,Pajamas,33.220036973982374,Wyoming,M,Terra cotta,Winter,Missing,Standard,No,0,Credit Card
48.0,Male,Sunglasses,13.025750666066642,Massachusetts,M,White,Spring,Missing,Standard,No,20,Credit Card
24.0,Female,Dress,27.968961451416657,Washington,M,Fuchsia,Spring,Missing,Standard,No,0,Credit Card
19.0,Female,Handbag,29.221767976620992,Massachusetts,XL,Fuchsia,Summer,Present,Standard,No,16,Credit Card
22.0,Female,Sunglasses,22.956083043287148,California,L,Muted mustard yellow,Spring,Present,Standard,No,0,Credit Card
50.0,Male,Sunglasses,28.376819427462447,Alabama,M,Lemon yellow,Summer,Missing,Standard,No,1,Credit Card
29.0,Male,Sunglasses,26.80271406092817,Illinois,L,Baby blue,Summer,Present,Standard,No,0,Credit Card
19.0,Male,Gloves,19.6615960697812,Mississippi,M,Terra cotta,Winter,Missing,Standard,No,0,Credit Card
35.0,Female,Boots,35.204034984717964,Kentucky,M,Muted mustard yellow,Winter,Missing,Standard,No,6,Credit Card
18.0,Male,T-shirt,30.08295793767189,New Mexico,M,White,Summer,Missing,Standard,No,20,Credit Card
24.0,Female,Leggings,31.63510176974121,New York,M,White,Winter,Present,Express,No,4,Credit Card
58.0,Female,Boots,37.3401368297862,Maine,L,Brick red,Winter,Present,Standard,No,10,Credit Card
52.0,Male,Shorts,28.08169193239702,Tennessee,M,Muted mustard yellow,Summer,Missing,Standard,No,3,Credit Card
35.0,Female,T-shirt,33.9722445561138,Colorado,S,Fuchsia,Spring,Missing,Standard,No,19,Credit Card
49.0,Female,Sunglasses,34.12242081691652,Alabama,XL,Pale peach,Summer,Missing,Standard,No,3,Credit Card
41.0,Female,Shorts,22.404350520131985,Washington,L,Baby blue,Summer,Missing,Standard,No,2,Credit Card
45.0,Female,T-shirt,35.61670874036934,West Virginia,XL,Lemon yellow,Summer,Present,Next Day Air,No,2,Credit Card
36.0,Female,Handbag,30.16421834815556,Tennessee,XL,Periwinkle,Summer,Missing,Standard,No,8,Credit Card
49.0,Female,T-shirt,21.945393892648024,Alaska,M,Lavender,Summer,Missing,Standard,No,5,Credit Card
37.0,Female,Dress,24.02491265995526,Pennsylvania,M,Fuchsia,Summer,Missing,Standard,No,12,Credit Card
27.0,Female,Running Shoes,23.55280923635257,Delaware,M,Periwinkle,Summer,Missing,Standard,No,0,Credit Card
48.0,Female,Pajamas,35.34606960476163,Oregon,M,Muted mustard yellow,Winter,Present,Standard,No,13,Credit Card
20.0,Male,Handbag,23.06266665909253,Idaho,L,Black,Summer,Present,Next Day Air,No,1,Credit Card
26.0,Male,Jacket,33.377335461219346,Ohio,S,Terra cotta,Winter,Missing,Standard,No,8,Credit Card
39.0,Male,Gloves,37.46544615483463,Georgia,M,Mauve,Winter,Missing,Standard,No,1,Credit Card
31.0,Female,Scarf,26.894776659597657,Alaska,L,Black,Winter,Missing,Express,No,2,Credit Card
28.0,Female,Sunglasses,40.29033591254307,Kansas,L,Burnt orange,Fall,Missing,Next Day Air,No,0,Credit Card
20.0,Female,Shorts,32.326684985368345,Mississippi,S,Lemon yellow,Summer,Missing,Next Day Air,No,3,Credit Card
44.0,Female,Running Shoes,27.640997030471524,Maine,M,Periwinkle,Summer,Present,Standard,No,1,Credit Card
32.0,Male,Socks,38.649676619943,New York,M,Muted mustard yellow,Fall,Missing,Standard,No,0,Credit Card
25.0,Male,Shorts,19.927603459330555,Alaska,L,Pale peach,Summer,Present,Standard,No,4,Credit Card
22.0,Female,Running Shoes,27.051246697185,Iowa,S,Turquoise,Spring,Missing,Standard,No,1,Credit Card
60.0,Male,Jacket,29.935703028048664,Delaware,M,Mauve,Winter,Missing,Standard,No,0,Credit Card
41.0,Female,Shorts,42.47601053548436,Massachusetts,S,Lemon yellow,Summer,Missing,Standard,No,0,Credit Card
37.0,Male,Running Shoes,31.61126966438244,Louisiana,L,White,Spring,Missing,Next Day Air,No,3,Credit Card
34.0,Female,Gloves,26.55702924707019,Iowa,XL,White,Winter,Missing,Standard,No,1,Credit Card
30.0,Female,Jeans,25.157504882474548,Oregon,L,Mauve,Fall,Missing,Standard,No,7,Credit Card
26.0,Male,T-shirt,30.865217381674967,Oklahoma,M,Periwinkle,Summer,Missing,Standard,No,7,Credit Card
42.0,Male,Handbag,25.877164573404308,Florida,L,Aubergine,Fall,Present,Standard,No,0,Credit Card
20.0,Female,Pajamas,27.795310583183262,Kentucky,M,Aubergine,Winter,Missing,Standard,No,2,Credit Card
31.0,Female,Hoodie,21.19328667006897,Maine,L,Brown,Winter,Missing,Express,No,0,Credit Card
35.0,Male,Sunglasses,37.309686782518376,Nebraska,L,Baby blue,Summer,Missing,Standard,No,5,Credit Card
23.0,Male,Handbag,20.98606074094816,Texas,S,Fuchsia,Spring,Missing,Express,No,3,Credit Card
28.0,Male,Handbag,33.23011883507173,Texas,L,White,Spring,Missing,Standard,No,8,Credit Card
21.0,Male,Hoodie,38.1693501023632,Connecticut,M,Black,Winter,Present,Standard,No,6,Credit Card
29.0,Male,Handbag,37.5011813324779,Missouri,XL,Brown,Spring,Missing,Express,No,0,Credit Card
19.0,Female,Shorts,29.006185791830863,New Hampshire,M,White,Summer,Missing,Standard,No,13,Credit Card
31.0,Male,Running Shoes,32.73312288464473,Wisconsin,M,Pale peach,Spring,Missing,Standard,No,0,Credit Card
21.0,Male,T-shirt,24.27710436277089,South Dakota,S,Fuchsia,Summer,Missing,Standard,No,1,Credit Card
50.0,Female,Socks,23.497278703464023,Mississippi,L,Pale peach,Fall,Missing,Standard,No,12,Credit Card
32.0,Male,Handbag,30.911267387651304,Mississippi,XL,Baby blue,Spring,Missing,Standard,No,6,Credit Card
32.0,Male,Sunglasses,24.53979787157618,New Mexico,L,Lavender,Summer,Present,Standard,No,3,Credit Card
34.0,Female,Scarf,29.7092302760342,New Mexico,M,Fuchsia,Winter,Present,Standard,No,1,Credit Card
20.0,Female,Sunglasses,22.59352242059229,Connecticut,L,Pale peach,Summer,Missing,Standard,No,20,Credit Card
20.0,Male,Sunglasses,35.71074124834623,Montana,S,Baby blue,Summer,Present,Standard,No,11,Credit Card
36.0,Female,Leggings,25.915470402424305,New Jersey,M,Ruby Red,Winter,Missing,Standard,No,7,Credit Card
31.0,Male,Dress,23.677315640557808,Washington,S,Pale peach,Spring,Present,Standard,No,5,Credit Card
41.0,Male,Hoodie,26.064057449298268,Colorado,XL,Brick red,Winter,Missing,Next Day Air,No,0,Credit Card
45.0,Female,Running Shoes,30.235221035126788,North Carolina,M,Brown,Summer,Present,Standard,No,7,Credit Card
29.0,Male,Jacket,27.303045965424992,Illinois,S,Muted mustard yellow,Winter,Present,Standard,No,15,Credit Card
50.0,Male,Jacket,35.85428147078736,Illinois,M,Ruby Red,Fall,Present,Standard,No,10,Credit Card
32.0,Female,Running Shoes,33.075367326773005,Rhode Island,L,Baby blue,Spring,Present,Next Day Air,No,6,Credit Card
47.0,Male,Sunglasses,27.906078244689127,Minnesota,M,Lavender,Spring,Present,Standard,No,7,Credit Card
28.0,Female,Running Shoes,32.51461467860084,Ohio,L,White,Summer,Present,Express,No,1,Credit Card
34.0,Female,Scarf,34.58389057131083,New York,L,Mauve,Fall,Missing,Standard,No,7,Credit Card
27.0,Female,Sweater,33.33507576754284,Indiana,S,Terra cotta,Winter,Missing,Next Day Air,No,14,Credit Card
23.0,Male,Sunglasses,24.29472697222567,Georgia,L,Terra cotta,Fall,Missing,Next Day Air,No,1,Credit Card
31.0,Male,Hoodie,23.37945000816737,Missouri,M,Aubergine,Winter,Missing,Standard,No,8,Credit Card
31.0,Male,Jacket,16.02395126000774,Montana,L,Mauve,Winter,Missing,Standard,No,10,Credit Card
30.0,Male,Sweater,24.64209040904741,Kansas,S,Pale peach,Winter,Missing,Standard,No,7,Credit Card
45.0,Female,Jacket,32.10206968083,Ohio,L,Ruby Red,Fall,Missing,Standard,No,1,Credit Card
26.0,Male,Leggings,35.06034735330029,Nevada,L,Mauve,Winter,Present,Standard,No,20,Credit Card
21.0,Male,Boots,38.41266154605431,Minnesota,L,Brown,Winter,Missing,Standard,No,4,Credit Card
32.0,Female,Shorts,31.398272803986387,Connecticut,XL,White,Spring,Missing,Standard,No,0,Credit Card
37.0,Male,Sweater,32.99161362777818,Utah,M,Aubergine,Winter,Missing,Standard,No,1,Credit Card
37.0,Non-binary,Running Shoes,43.164845311694,Delaware,M,Terra cotta,Summer,Present,Standard,No,0,Credit Card
30.0,Female,Jacket,21.220578688784013,Georgia,L,Burnt orange,Fall,Missing,Standard,No,0,Credit Card
22.0,Male,Leggings,38.8683701935412,Oklahoma,M,Burnt orange,Winter,Missing,Standard,No,2,Credit Card
44.0,Male,Sunglasses,31.58094267254556,Nevada,M,Black,Fall,Missing,Standard,No,0,Credit Card
32.0,Female,Backpack,26.970299995768947,Vermont,M,Burnt orange,Fall,Missing,Standard,No,1,Credit Card
51.0,Female,Boots,32.97980924379722,North Carolina,M,Black,Winter,Present,Standard,No,12,Credit Card
29.0,Female,Running Shoes,32.13484146763228,Virginia,M,Baby blue,Summer,Present,Express,No,14,Credit Card
23.0,Male,Leggings,29.59266284812104,Delaware,M,Muted mustard yellow,Fall,Missing,Standard,No,0,Credit Card
35.0,Male,Sunglasses,28.037457867695768,South Dakota,M,Pale peach,Spring,Missing,Next Day Air,No,6,Credit Card
43.0,Female,Dress,20.36306507686774,Minnesota,L,Pale peach,Summer,Present,Standard,No,0,Credit Card
39.0,Female,Running Shoes,34.728968441975546,Florida,M,Pale peach,Spring,Missing,Standard,No,0,Credit Card
25.0,Male,Backpack,32.737386042386795,Michigan,M,Aubergine,Fall,Present,Standard,No,13,Credit Card
34.0,Male,Running Shoes,21.001520057349204,Florida,M,Baby blue,Spring,Missing,Next Day Air,No,4,Credit Card
47.0,Female,Leggings,28.32760171596245,Louisiana,L,Baby blue,Winter,Missing,Next Day Air,No,2,Credit Card
37.0,Female,Dress,31.36510198536382,Pennsylvania,M,Brown,Fall,Missing,Standard,No,5,Credit Card
41.0,Female,Running Shoes,26.50889186123697,Pennsylvania,XL,Periwinkle,Summer,Missing,Standard,No,5,Credit Card
28.0,Male,Socks,19.76200780215793,Louisiana,M,Burnt orange,Fall,Present,Standard,No,1,Credit Card
26.0,Female,Shorts,34.83994785189952,Wyoming,XL,White,Summer,Missing,Standard,No,18,Credit Card
45.0,Male,Sunglasses,16.873628536862633,Illinois,L,Turquoise,Spring,Present,Standard,No,7,Credit Card
27.0,Male,Leggings,37.27786136235862,Oregon,XL,Burnt orange,Fall,Missing,Standard,No,2,Credit Card
20.0,Male,Scarf,30.71379163312676,Washington,M,Brick red,Winter,Present,Standard,No,1,Credit Card
35.0,Male,Shorts,23.362118564236454,Alaska,L,Muted mustard yellow,Fall,Missing,Standard,No,12,Credit Card
21.0,Female,T-shirt,20.92717596361858,Kansas,M,Baby blue,Summer,Missing,Standard,No,9,Credit Card
26.0,Female,Sweater,37.24857454056908,New York,S,Burnt orange,Winter,Present,Standard,No,6,Credit Card
48.0,Female,Sunglasses,37.18786875763331,North Dakota,XL,Turquoise,Spring,Missing,Standard,No,8,Credit Card
20.0,Female,Running Shoes,30.82581030781684,Arizona,S,Periwinkle,Summer,Missing,Standard,No,20,Credit Card
30.0,Female,Sunglasses,22.604009902230608,Texas,S,Fuchsia,Summer,Present,Standard,No,1,Credit Card
49.0,Male,Boots,29.00904144240539,Kentucky,M,Aubergine,Winter,Present,Standard,No,10,Credit Card
34.0,Male,Sweater,33.89884212456443,Vermont,M,Black,Fall,Present,Next Day Air,No,13,Credit Card
33.0,Female,Sunglasses,40.17538990633306,Nebraska,M,Periwinkle,Summer,Missing,Standard,No,1,Credit Card
27.0,Male,Pajamas,30.81021132163804,Alabama,XL,Mauve,Fall,Missing,Standard,No,9,Credit Card
23.0,Male,Socks,36.25064326186545,Mississippi,L,Brick red,Winter,Missing,Standard,No,4,Credit Card
22.0,Male,Socks,26.45749726178657,Tennessee,S,Brick red,Fall,Missing,Standard,No,4,Credit Card
41.0,Male,Handbag,22.824368414559785,New Jersey,M,Lavender,Fall,Missing,Standard,No,2,Credit Card
23.0,Male,Running Shoes,22.78110519689574,Oregon,M,Periwinkle,Summer,Missing,Standard,No,7,Credit Card
38.0,Female,Handbag,34.80813862932214,Nebraska,L,Lemon yellow,Summer,Present,Standard,No,3,Credit Card
27.0,Male,Sweater,25.40325126235862,Utah,M,Aubergine,Fall,Present,Standard,No,1,Credit Card
19.0,Male,Handbag,30.940271986020687,Georgia,L,Lemon yellow,Spring,Missing,Next Day Air,No,2,Credit Card
42.0,Male,Boots,35.240084932635725,Missouri,L,Black,Fall,Present,Standard,No,12,Credit Card
18.0,Male,Hoodie,22.300141757255368,Minnesota,L,Black,Winter,Missing,Standard,No,5,Credit Card
34.0,Male,Scarf,30.11403526470311,South Carolina,M,Black,Fall,Present,Express,No,0,Credit Card
21.0,Male,Gloves,40.57035981990248,Connecticut,M,Burnt orange,Fall,Missing,Standard,No,13,Credit Card
25.0,Male,Gloves,32.55258465013621,Wisconsin,XL,Black,Winter,Missing,Standard,No,0,Credit Card
35.0,Female,Backpack,34.302340022973674,North Dakota,M,Brick red,Fall,Missing,Standard,No,1,Credit Card
28.0,Female,Dress,20.745101405517417,New Mexico,XL,Lavender,Spring,Missing,Next Day Air,No,1,Credit Card
41.0,Female,Backpack,15.300091040285746,Idaho,M,Black,Winter,Present,Standard,No,5,Credit Card
20.0,Male,Handbag,21.394544026365807,Ohio,M,Terra cotta,Fall,Present,Express,No,0,Credit Card
43.0,Female,Jacket,18.08689806647588,Nebraska,L,Burnt orange,Winter,Present,Standard,No,0,Credit Card
46.0,Male,Dress,31.392607361388997,North Carolina,M,Periwinkle,Spring,Missing,Standard,No,14,Credit Card
26.0,Male,Boots,26.5138314528323,Wyoming,L,Aubergine,Fall,Missing,Standard,No,4,Credit Card
37.0,Female,Backpack,43.68480986868286,Kentucky,M,Mauve,Winter,Missing,Express,No,0,Credit Card
27.0,Female,Socks,26.26714566549676,South Carolina,L,Aubergine,Winter,Present,Standard,No,7,Credit Card
41.0,Male,T-shirt,38.18301230636555,Texas,M,Fuchsia,Summer,Missing,Standard,No,5,Credit Card
26.0,Female,Pajamas,33.58362353904084,Colorado,S,Aubergine,Winter,Missing,Express,No,1,Credit Card
36.0,Male,Scarf,34.541838784226734,North Dakota,M,Aubergine,Winter,Present,Standard,No,1,Credit Card
22.0,Female,Leggings,35.13033677855485,Maine,S,Muted mustard yellow,Winter,Present,Standard,No,0,Credit Card
35.0,Female,Sweater,25.566774723034644,Idaho,S,Aubergine,Fall,Missing,Standard,No,20,Credit Card
40.0,Male,Sunglasses,28.838233444048058,Missouri,L,Terra cotta,Fall,Missing,Standard,No,1,Credit Card
29.0,Male,Belt,39.179154153415176,Alabama,S,Brown,Fall,Present,Express,No,2,Credit Card
33.0,Female,Socks,28.25452456812305,New Hampshire,M,Mauve,Fall,Present,Standard,No,2,Credit Card
29.0,Female,Socks,26.49237917468553,New Mexico,L,Muted mustard yellow,Fall,Missing,Standard,No,3,Credit Card
31.0,Male,T-shirt,33.83093549355802,North Dakota,M,Periwinkle,Spring,Present,Standard,No,5,Credit Card
31.0,Male,Dress,30.96271235294176,Vermont,S,Baby blue,Summer,Missing,Standard,No,7,Credit Card
33.0,Female,Running Shoes,32.803419484044284,West Virginia,M,Baby blue,Summer,Missing,Next Day Air,No,13,Credit Card
22.0,Female,Scarf,24.157375045884784,Washington,L,Brick red,Fall,Missing,Standard,No,7,Credit Card
38.0,Male,Scarf,36.50110739858218,New York,L,Mauve,Fall,Missing,Standard,No,20,Credit Card
20.0,Male,Backpack,27.69461465356953,Utah,S,Mauve,Winter,Missing,Standard,No,1,Credit Card
41.0,Female,T-shirt,40.18483161659032,Texas,M,Periwinkle,Summer,Missing,Standard,No,0,Credit Card
47.0,Female,Scarf,36.41747044237187,California,M,Terra cotta,Winter,Present,Standard,No,3,Credit Card
34.0,Male,Leggings,29.83808500827577,Colorado,L,Black,Winter,Missing,Standard,No,20,Credit Card
33.0,Male,Running Shoes,38.885364220233285,Minnesota,M,Lemon yellow,Spring,Missing,Standard,No,0,Credit Card
24.0,Female,Leggings,22.96862629602071,California,M,Mauve,Winter,Missing,Standard,No,7,Credit Card
35.0,Female,Running Shoes,31.1744635710559,Maryland,M,Brown,Fall,Missing,Next Day Air,No,4,Credit Card
34.0,Female,Pajamas,22.36094544524364,New York,S,Black,Fall,Present,Standard,No,7,Credit Card
34.0,Male,Running Shoes,24.235115415940705,Vermont,M,Baby blue,Summer,Missing,Standard,No,0,Credit Card
57.0,Female,Backpack,38.11306304146123,Iowa,M,Brick red,Fall,Present,Standard,No,20,Credit Card
26.0,Female,Jacket,22.4297556720276,Utah,M,Aubergine,Winter,Missing,Standard,No,3,Credit Card
40.0,Male,Sweater,32.90314448759637,California,L,Mauve,Winter,Present,Standard,No,19,Credit Card
31.0,Male,Hoodie,32.67911487948289,Ohio,L,Terra cotta,Fall,Missing,Standard,No,7,Credit Card
60.0,Female,Sunglasses,19.669796220787937,Kansas,M,Periwinkle,Summer,Missing,Next Day Air,No,0,Credit Card
43.0,Male,Sunglasses,20.66258196247128,Colorado,XL,Ruby Red,Spring,Missing,Express,No,0,Credit Card
30.0,Female,Jacket,22.68098666296425,New Hampshire,S,White,Winter,Missing,Standard,No,2,Credit Card
42.0,Female,Scarf,33.04640208939572,Georgia,M,Terra cotta,Winter,Missing,Express,No,2,Credit Card
33.0,Male,Running Shoes,39.93827560967348,New York,M,Turquoise,Spring,Present,Standard,No,9,Credit Card
37.0,Male,Leggings,29.51596277564076,New York,M,Mauve,Winter,Missing,Standard,No,4,Credit Card
26.0,Male,Dress,30.957114080962054,California,S,Baby blue,Summer,Present,Standard,No,7,Credit Card
36.0,Male,Sweater,32.31441803509192,Alabama,M,Brown,Fall,Present,Standard,No,7,Credit Card
29.0,Female,Boots,34.028043309200434,Connecticut,L,Lavender,Fall,Present,Standard,No,4,Credit Card
